direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason,ema_position
SHORT,11.085,10.881,11.1031,-1.0,RANGE,19.6061,0.0603,28.3175,12.5592,4,BULLISH_BOS,False,SWEEP_HIGH,,0.11999999999999922,,,SWEEP,False,11.1031,,,2023-04-10 16:00:00,5.0,1.8000000000000003,ATOMUSDT,1,0.0,0.018099999999998673,2023-04-10 17:00:00,11.1031,-0.09049999999999336,stop_loss,
SHORT,11.016,,11.337,-1.0,TREND,31.3341,0.1018,6.9474,36.8421,4,BEARISH_BOS,True,,,0.26699999999999946,,,BOS,True,,,11.337,2023-04-12 02:00:00,4.995475000000001,1.7983710000000004,ATOMUSDT,12,0.0,0.32099999999999973,2023-04-12 14:00:00,11.337,-1.603547474999999,stop_loss,BELOW
LONG,11.698,,12.06,0.900497512437809,TREND,30.1602,0.0808,43.2361,8.6649,4,BULLISH_BOS,True,,,0.2110000000000003,,,BOS,True,,11.296,,2023-04-13 12:00:00,4.401759068283572,1.7695071454500004,ATOMUSDT,28,1.6890547263681557,0.402000000000001,2023-04-14 16:00:00,12.06,1.5934367827186535,stop_loss,ABOVE
SHORT,10.798,,10.889,-0.33211678832116637,TREND,38.7085,0.0744,2.0173,43.2277,4,BEARISH_BOS,True,,,0.11500000000000021,,,BOS,True,,,11.072,2023-05-06 14:00:00,4.994969465385934,1.7981890075389362,ATOMUSDT,20,0.06934306569343135,0.27399999999999913,2023-05-07 10:00:00,10.889,-0.45454222135011646,stop_loss,BELOW
LONG,10.948,,10.807,-0.18825100133511335,TREND,30.1266,0.1099,51.4304,14.4993,4,BULLISH_BOS,True,,,0.41999999999999993,,,BOS,True,,10.199,,2023-05-10 13:00:00,2.38986281382461,1.7900072475546343,ATOMUSDT,14,0.10280373831775688,0.7490000000000006,2023-05-11 03:00:00,10.807,-0.33697065674927,stop_loss,ABOVE
SHORT,10.868,10.677,10.8922,-1.0,RANGE,20.2667,0.0806,23.1383,21.0993,3,,False,SWEEP_HIGH,,0.20000000000000107,,,SWEEP,False,10.8922,,,2023-05-16 21:00:00,4.955393821480964,1.5857260228739085,ATOMUSDT,1,0.6198347107438138,0.024200000000000443,2023-05-16 22:00:00,10.8922,-0.11992053047984153,stop_loss,
LONG,10.957,,10.874,-0.8645833333333345,TREND,30.1841,0.0664,32.1505,10.1075,3,BULLISH_BOS,True,,,0.0389999999999997,,,BOS,True,,10.861,,2023-05-18 04:00:00,4.9493977949569725,1.583807294386231,ATOMUSDT,10,0.27083333333333104,0.09600000000000009,2023-05-18 14:00:00,10.874,-0.41080001698142965,stop_loss,ABOVE
LONG,10.879,,10.815,-0.5378151260504217,TREND,37.8546,0.0416,37.7358,6.0034,3,BULLISH_BOS,True,,,0.045999999999999375,,,BOS,True,,10.76,,2023-05-30 11:00:00,4.928857794107901,1.5772344941145282,ATOMUSDT,15,0.0,0.11899999999999977,2023-05-31 02:00:00,10.815,-0.31544689882290594,stop_loss,ABOVE
LONG,10.608,,10.592,-0.044198895027624335,TREND,33.6932,0.0736,31.4563,20.9709,4,BULLISH_BOS,True,,,0.16500000000000092,,,BOS,True,,10.246,,2023-06-02 05:00:00,4.88594133066307,1.768710761700032,ATOMUSDT,19,0.10220994475137851,0.3620000000000001,2023-06-03 00:00:00,10.592,-0.0781750612906092,stop_loss,ABOVE
LONG,10.694,,10.725,0.4626865671641601,TREND,37.8069,0.0433,35.1485,12.5413,4,BULLISH_BOS,True,,,0.014000000000001123,,,BOS,True,,10.627,,2023-06-03 23:00:00,4.909176696102225,1.767303610596801,ATOMUSDT,25,2.089552238805947,0.06700000000000017,2023-06-05 00:00:00,10.725,0.15218447757916312,stop_loss,ABOVE
SHORT,10.18,9.8,10.3836,1.8664047151276986,RANGE,21.5526,0.0822,29.192,15.5517,5,BULLISH_BOS,False,SWEEP_HIGH,,0.10400000000000098,,,SWEEP,False,10.3836,,,2023-06-06 20:00:00,4.916785919981184,1.9667143679924732,ATOMUSDT,18,2.337917485265224,0.20359999999999978,2023-06-07 14:00:00,9.8,1.868378649592845,take_profit,
SHORT,8.305,,8.622,-1.0,TREND,30.0584,0.0559,9.5785,44.4444,4,BEARISH_BOS,True,,,0.10299999999999976,,,BOS,True,,,8.622,2023-06-20 14:00:00,5.010204852460825,1.8036737468858972,ATOMUSDT,4,0.0,0.31700000000000017,2023-06-20 18:00:00,8.622,-1.5882349382300824,stop_loss,BELOW
LONG,9.363,,9.219,-1.0,TREND,32.8663,0.0773,21.2569,15.9889,4,BULLISH_BOS,True,,,0.0730000000000004,,,BOS,True,,9.219,,2023-06-27 07:00:00,4.930793105549321,1.7750855179977556,ATOMUSDT,8,0.16666666666667285,0.14400000000000013,2023-06-27 15:00:00,9.219,-0.7100342071991028,stop_loss,ABOVE
LONG,9.403,,9.126,-1.0,TREND,39.6208,0.0687,37.7339,6.8607,4,BULLISH_BOS,True,,,0.09399999999999942,,,BOS,True,,9.126,,2023-06-29 11:00:00,4.895291395189366,1.7623049022681718,ATOMUSDT,8,0.0,0.277000000000001,2023-06-29 19:00:00,9.126,-1.3559957164674594,stop_loss,ABOVE
LONG,9.756,,9.825,0.16870415647921502,TREND,31.6232,0.0783,29.0146,18.1569,4,BULLISH_BOS,True,,,0.07699999999999996,,,BOS,True,,9.347,,2023-07-03 03:00:00,4.249136868879596,1.7378969793717576,ATOMUSDT,22,0.6821515892420524,0.4090000000000007,2023-07-04 01:00:00,9.825,0.2931904439526881,stop_loss,ABOVE
LONG,9.838,,9.687,-0.7224880382775123,TREND,35.5495,0.1051,26.8525,7.274,3,BULLISH_BOS,True,,,0.07200000000000095,,,BOS,True,,9.629,,2023-07-15 08:00:00,4.842151131563627,1.5494883621003606,ATOMUSDT,8,0.2966507177033554,0.20899999999999963,2023-07-15 16:00:00,9.687,-0.7311648208661067,stop_loss,ABOVE
SHORT,8.916,,9.024,-0.2983425414364606,TREND,39.3479,0.0827,9.7582,52.7634,4,BEARISH_BOS,True,,,0.375,,,BOS,True,,,9.278,2023-07-24 09:00:00,4.77904265355612,1.7300134405873158,ATOMUSDT,17,0.0,0.3620000000000001,2023-07-25 02:00:00,9.024,-0.516136606584055,stop_loss,BELOW
SHORT,8.824,,8.822,0.006825938566555156,TREND,35.1411,0.0559,8.4291,32.6948,4,BEARISH_BOS,True,,,0.11000000000000121,,,BOS,True,,,9.117,2023-07-31 19:00:00,4.779786060191118,1.7207229816688028,ATOMUSDT,23,0.45051194539248873,0.29300000000000104,2023-08-01 18:00:00,8.822,0.00955957212038543,stop_loss,BELOW
SHORT,8.499,,8.448,0.31288343558282256,TREND,34.7676,0.0589,14.1818,33.0909,4,BEARISH_BOS,True,,,0.19200000000000017,,,BOS,True,,,8.662,2023-08-04 18:00:00,4.780264038797138,1.7208950539669696,ATOMUSDT,20,0.7116564417177991,0.16300000000000026,2023-08-05 14:00:00,8.448,0.24379346597865478,stop_loss,BELOW
SHORT,8.45,8.383,8.4566,-1.0,RANGE,17.0534,0.022,33.1169,11.039,4,,False,SWEEP_HIGH,,0.05500000000000149,,,SWEEP,False,8.4566,,,2023-08-13 20:00:00,4.79245371209607,1.7252833363545854,ATOMUSDT,1,2.5757575757572577,0.006600000000000605,2023-08-13 21:00:00,8.4566,-0.031630194499836964,stop_loss,
LONG,8.55,,8.493,-0.40425531914893886,TREND,39.8096,0.0318,42.0225,16.4045,4,BULLISH_BOS,True,,,0.08200000000000074,,,BOS,True,,8.409,,2023-08-14 14:00:00,4.790872202371078,1.7247139928535882,ATOMUSDT,14,0.0,0.14100000000000001,2023-08-15 04:00:00,8.493,-0.2730797155351533,stop_loss,ABOVE
SHORT,8.027,,7.957,0.14198782961460316,TREND,32.5504,0.0854,4.097,64.4649,4,BEARISH_BOS,True,,,0.6279999999999992,,,BOS,True,,,8.52,2023-08-15 19:00:00,3.4884352088721187,1.7197985579739556,ATOMUSDT,23,0.2799188640973609,0.4930000000000003,2023-08-16 18:00:00,7.957,0.2441904646210462,stop_loss,BELOW
SHORT,6.666,,6.689,-0.07540983606557282,TREND,37.3442,0.0516,8.8643,43.0748,4,BEARISH_BOS,True,,,0.13699999999999957,,,BOS,True,,,6.971,2023-09-01 17:00:00,4.789427739825373,1.7241939863371345,ATOMUSDT,12,0.06229508196721359,0.3049999999999997,2023-09-02 05:00:00,6.689,-0.11015683801598208,stop_loss,BELOW
LONG,6.928,,6.907,-0.08860759493670843,TREND,34.4966,0.0609,27.23,10.2113,4,BULLISH_BOS,True,,,0.036000000000000476,,,BOS,True,,6.691,,2023-09-07 01:00:00,4.783919897924574,1.7222111632528467,ATOMUSDT,32,0.223628691983122,0.2370000000000001,2023-09-08 09:00:00,6.907,-0.10046231785641561,stop_loss,ABOVE
SHORT,6.784,,6.42,4.089887640449418,TREND,32.3441,0.0277,12.6289,38.6598,4,BEARISH_BOS,True,,,0.041999999999999815,,,BOS,True,,,6.873,2023-09-10 01:00:00,4.778896782031754,1.7204028415314314,ATOMUSDT,50,5.2921348314606504,0.08900000000000041,2023-09-12 03:00:00,6.42,1.7395184286595577,stop_loss,BELOW
LONG,7.07,,7.037,-0.11262798634812404,TREND,31.8758,0.0572,41.3233,7.8652,4,BULLISH_BOS,True,,,0.1459999999999999,,,BOS,True,,6.777,,2023-09-16 02:00:00,4.865872703464731,1.7517141732473032,ATOMUSDT,17,0.2798634812286683,0.29300000000000015,2023-09-16 19:00:00,7.037,-0.1605737992143379,stop_loss,ABOVE
LONG,7.091,,7.072,-0.11656441717791471,TREND,33.0945,0.0409,38.7435,4.014,4,BULLISH_BOS,True,,,0.06200000000000028,,,BOS,True,,6.928,,2023-09-28 10:00:00,4.857844013504014,1.7488238448614453,ATOMUSDT,15,0.3926380368098157,0.16300000000000026,2023-09-29 01:00:00,7.072,-0.09229903625657689,stop_loss,ABOVE
LONG,2.161,,2.1739,0.24855491329480106,TREND,32.7538,0.0224,25.717,17.9414,4,BULLISH_BOS,True,,,0.02069999999999972,,,BOS,True,,2.1091,,2023-10-22 06:00:00,4.853229061691185,1.7471624622088269,TONUSDT,24,1.3603082851637764,0.051899999999999835,2023-10-23 06:00:00,2.1739,0.06260665489581693,stop_loss,ABOVE
SHORT,2.0841,,2.0721,0.3269754768392358,TREND,31.3309,0.0161,14.9578,33.2446,3,BEARISH_BOS,True,,,0.025700000000000056,,,BOS,True,,,2.1208,2023-10-27 11:00:00,4.856359394435977,1.5540350062195123,TONUSDT,18,1.283378746593997,0.03670000000000018,2023-10-28 05:00:00,2.0721,0.05827631273323177,stop_loss,BELOW
LONG,551.55,,565.3,0.5753138075313813,TREND,37.3686,4.3464,37.4692,6.2449,4,BULLISH_BOS,True,,,8.5,,,BOS,True,,530.25,,2024-08-19 17:30:00,0.07319407345716114,1.7493383556261497,BNBUSDT,21,0.924686192468621,23.899999999999977,2024-08-20 14:00:00,565.3,1.0064185100359657,stop_loss,ABOVE
SHORT,563.5,,555.3,0.9111111111111162,TREND,33.6379,4.0321,7.9717,29.8494,4,BEARISH_BOS,True,,,5.149999999999977,,,BOS,True,,,572.5,2024-08-26 06:45:00,0.19638376542297747,1.7674538888067972,BNBUSDT,22,1.7277777777777727,9.0,2024-08-27 04:00:00,555.3,1.6103468764684241,stop_loss,BELOW
SHORT,527.85,,516.1,1.5359477124182823,TREND,31.4253,2.6107,7.1135,35.5677,3,BEARISH_BOS,True,,,4.25,,,BOS,True,,,534.2,2024-09-01 01:30:00,0.208736689334287,1.5968356734073144,BNBUSDT,32,3.261437908496699,7.650000000000091,2024-09-02 09:00:00,516.1,2.4526560996778723,stop_loss,BELOW
LONG,522.1,,540.3,1.2771929824561357,TREND,37.6312,4.9607,29.4456,15.6947,4,BULLISH_BOS,True,,,6.850000000000023,,,BOS,True,,508.15,,2024-09-11 16:30:00,0.1291640661317495,1.8405879423774303,BNBUSDT,23,1.5999999999999968,14.25,2024-09-12 15:00:00,540.3,2.350786003597832,stop_loss,ABOVE
LONG,552.5,555.3000000000001,551.2946000000001,-1.0,RANGE,16.1772,4.0179,18.6667,25.6,4,BEARISH_BOS,False,SWEEP_LOW,,9.200000000000045,,,SWEEP,False,551.6946,,,2024-09-15 23:30:00,1.562055824159851,1.8829020904421914,BNBUSDT,1,0.0,1.2053999999999405,2024-09-16 00:00:00,551.2946000000001,-1.8829020904421916,stop_loss,
LONG,550.55,,568.6,1.5973451327433752,TREND,34.21,5.1214,23.6402,16.7364,4,BULLISH_BOS,True,,,5.350000000000023,,,BOS,True,,540.7,,2024-09-18 22:30:00,0.16362919051453448,1.849009852814232,BNBUSDT,37,2.2035398230088665,11.299999999999955,2024-09-20 11:00:00,568.6,2.9535068887873583,stop_loss,ABOVE
LONG,575.6,,583.05,0.6478260869565158,TREND,39.1174,3.2429,38.6564,10.022,3,BULLISH_BOS,True,,,6.0,,,BOS,True,,565.65,,2024-09-21 06:15:00,0.14702786294202158,1.6908204238332483,BNBUSDT,20,1.117391304347828,11.5,2024-09-22 02:00:00,583.05,1.0953575789180507,stop_loss,ABOVE
