direction,entry,entry_level,zone_size_at_entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,htf_filter_variant,htf_filter_applied,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,signal_id,exit_time,exit_price,pnl,exit_reason,exit_type,entry_mode,candles_since_bos,ema_position,mtf_tf
SHORT,380.05,,,374.5161,383.7393,1.4999864472935278,RANGE,21.7005,3.6893,21.6844,18.6834,3.0,3_to_4,0.5,BULLISH_BOS,False,SWEEP_HIGH,,5.2999999999999545,,,SWEEP,False,383.7393,,,2022-01-09 19:00:00,2.5,zone,NONE,False,0.13552706475483142,0.5,BCHUSDT,5,1.5314558317296045,3.689300000000003,1.585666657631534,0.23039601008320418,1.585666657631534,380.9,374.2,383.7393,0,1,2022-01-10 00:00:00,374.5161,0.7499932236467639,take_profit,TP,,,,
SHORT,16.15,,,15.8093,16.3771,1.5002201673271602,RANGE,15.7307,0.2271,21.0063,10.5975,4.0,4_to_5,1.0,,False,SWEEP_HIGH,,0.31899999999999906,,,SWEEP,False,16.3771,,,2022-01-10 11:00:00,2.5,zone,NONE,False,4.436371344061944,1.0074999322364677,UNIUSDT,1,1.9550858652575909,0.22710000000000008,2.3645970937912764,0.3742844561867055,2.3645970937912764,16.235,15.613,16.3771,0,3,2022-01-10 12:00:00,15.8093,1.5114717169218963,take_profit,TP,,,,
SHORT,204.2268,1.0,0.823214,,200.0,0.46585548648767694,TREND,33.8375,3.2929,10.0868,42.8416,4.0,4_to_5,1.0,BEARISH_BOS,True,,,5.25,,,BOS,True,,,213.3,2022-01-10 12:00:00,2.5,zone,NONE,False,0.11270716499202983,1.0226146494056867,AAVEUSDT,12,1.0665255918529264,9.073200000000014,1.832517744566413,0.0,1.832517744566413,204.2268,187.6,213.3,0,4,2022-01-11 00:00:00,200.0,0.4763906449883114,stop_loss,trailing_stop,zone,,BELOW,
SHORT,87.105,1.0,0.376071,,84.9,0.615921787709497,TREND,30.3101,1.5043,14.5537,33.1197,5.0,5_plus,1.25,BEARISH_BOS,True,,,1.1099999999999994,,,BOS,True,,,90.685,2022-01-10 11:30:00,2.5,zone,NONE,False,0.3517807025965322,1.2593749152955847,AVAXUSDT,15,1.3184357541899445,3.5799999999999983,1.9608938547486072,0.013966480446926588,1.9608938547486072,87.155,80.085,90.685,0,2,2022-01-11 02:00:00,84.9,0.775676449225353,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,82.94,1.0,0.376071,,84.9,-0.25306649451258967,TREND,30.3101,1.5043,14.5537,33.1197,5.0,5_plus,1.25,BEARISH_BOS,True,,,1.1099999999999994,,,BOS,True,,,90.685,2022-01-10 13:00:00,2.5,zone,NONE,False,0.3517807025965322,1.2593749152955847,AVAXUSDT,13,0.07165913492575755,7.7450000000000045,0.3686249193027763,0.4699806326662361,0.3686249193027763,86.58,80.085,90.685,1,2,2022-01-11 02:00:00,84.9,-0.6894901770892059,stop_loss,trailing_stop,zone,,BELOW,15m
LONG,0.1527,1.0,0.000761,,0.1518,-0.0900000000000011,TREND,38.2761,0.003,62.6761,7.5117,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.02429999999999999,,,BOS,False,,0.1427,,2022-01-11 11:15:00,2.5,zone,NONE,False,5.141202092884656,0.5141202092884656,DOGEUSDT,20,0.2,0.010000000000000009,0.8199999999999977,0.5099999999999989,0.8199999999999977,0.1609,0.1476,0.1427,0,5,2022-01-12 07:00:00,0.1518,-0.004627081883596252,stop_loss,trailing_stop,zone,,ABOVE,15m
LONG,41.1729,1.0,0.227946,,40.62,-0.19380279715377385,TREND,35.9669,0.9118,34.4693,7.3247,3.5,3_to_4,0.5,BULLISH_BOS,False,,,1.0900000000000034,,,BOS,False,,38.32,,2022-01-12 06:00:00,2.5,zone,NONE,False,0.18020968463264253,0.5141202092884656,ATOMUSDT,13,0.21981141995863823,2.852899999999998,0.419608118055312,0.5460759227452758,0.419608118055312,42.37,39.615,38.32,0,7,2022-01-12 19:00:00,40.62,-0.09963793463338824,stop_loss,trailing_stop,zone,,ABOVE,
LONG,1.2107,1.0,0.00413,,1.2854000000000005,3.0,TREND,37.808,0.0165,34.6304,10.1167,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.029400000000000093,,,BOS,False,,1.1858,,2022-01-12 03:00:00,2.5,zone,NONE,False,5.141202092884656,0.5141202092884656,ADAUSDT,26,4.8915662650602085,0.024900000000000144,5.714859437750966,0.5060240963855459,5.714859437750966,1.353,1.1981,1.1858,0,6,2022-01-13 05:00:00,1.2854000000000005,0.38404779633848607,stop_loss,trailing_stop,zone,,ABOVE,
LONG,1.2332,1.0,0.00413,,1.2854000000000005,1.487179487179495,TREND,37.808,0.0165,34.6304,10.1167,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.029400000000000093,,,BOS,False,,1.1858,,2022-01-12 09:00:00,2.5,zone,NONE,False,5.141202092884656,0.5141202092884656,ADAUSDT,20,2.829059829059817,0.03510000000000013,3.4131054131053977,0.11680911680911615,3.4131054131053977,1.353,1.2291,1.1858,1,6,2022-01-13 05:00:00,1.2854000000000005,0.26837074924858145,stop_loss,trailing_stop,zone,,ABOVE,
LONG,1.2872,1.0,0.00413,,1.2854000000000005,-0.03488372093022035,TREND,37.808,0.0165,34.6304,10.1167,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.029400000000000093,,,BOS,False,,1.1858,,2022-01-12 19:00:00,2.5,zone,NONE,False,5.141202092884656,0.5141202092884656,ADAUSDT,10,0.8779069767441944,0.051599999999999646,1.2751937984496227,0.15891472868217135,1.2751937984496227,1.353,1.279,1.1858,2,6,2022-01-13 05:00:00,1.2854000000000005,-0.009254163767189079,stop_loss,trailing_stop,zone,,ABOVE,
