direction,entry,entry_level,zone_size_at_entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,zone_entry_type,htf_filter_variant,htf_filter_applied,entry_mode,candles_since_bos,ema_position,initial_risk,mtf_tf,position_size,risk_amount,capital_before_entry,trade_risk,risk_percent,symbol,bars_alive,max_r,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,realized_pnl,realized_r,mfe_valid,mae_valid,partial_tp_hits,tp1_taken,tp1_price,signal_id,entry_bar_index,exit_time,exit_price,pnl,exit_reason,exit_type,capital_after_exit
SHORT,472.65,,3.747321,,475.25,-0.3689827429609475,TREND,35.9187,4.9964,15.4396,22.2302,4.0,4_to_5,1.0,,True,,,3.8000000000000114,,,BOS,True,,,479.2,2022-01-18 04:00:00,2.5,momentum,,NONE,False,momentum,10.0,BELOW,7.0464000000000055,15m,0.634719136781974,4.472484925420505,100.0,4.472484925420505,0.2,BNBUSDT,2,0.5676657584014527,0.794732061762029,0.3973660308810186,0.794732061762029,475.45,467.05,479.6964,0,0.0,-0.3689827429609475,True,True,0,False,465.6036,1,412,2022-01-18 06:00:00,475.25,-1.650269755633147,stop_loss,trailing_stop,98.34973024436685
LONG,17.2174,1.0,0.248732,,17.063,-0.23204087766757156,TREND,35.9375,0.3316,29.8945,20.3748,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.25900000000000034,,,BOS,False,,16.552,,2022-01-18 09:00:00,2.5,zone,full,NONE,False,zone,,ABOVE,0.6654000000000018,,14.780542567533303,9.834973024436685,98.34973024436685,9.834973024436685,0.2,UNIUSDT,4,0.42320408776675184,0.6215810039074208,1.0661256387135563,0.6215810039074208,17.631,16.508,16.552,0,0.0,-0.23204087766757156,True,True,0,False,17.882800000000003,3,417,2022-01-18 13:00:00,17.063,-2.2821157724271792,stop_loss,trailing_stop,96.06761447193968
SHORT,465.8,,4.138393,,465.8,0.0,TREND,30.1981,5.5179,9.7087,35.9871,4.0,4_to_5,1.0,,True,SWEEP_LOW,,3.9499999999999886,,,BOS,True,,,479.2,2022-01-18 09:45:00,2.5,momentum,,NONE,False,momentum,15.0,BELOW,13.617899999999963,15m,0.6334246258761282,8.625913212718503,98.34973024436685,8.625913212718503,0.2,BNBUSDT,1,0.0477312948398825,0.2202982838763692,0.09179095161515383,0.2202982838763692,467.05,462.8,479.4179,0,0.0,0.0,True,True,0,False,452.18210000000005,2,417,2022-01-18 10:00:00,465.8,0.0,stop_loss,trailing_stop,98.34973024436685
SHORT,16.056,,0.179036,,15.817300000000003,1.5,TREND,36.6918,0.2387,19.0604,27.3489,3.0,3_to_4,0.5,,True,,,0.1390000000000029,,,BOS,True,,,16.221,2022-01-19 04:00:00,2.5,momentum,,NONE,False,momentum,8.0,BELOW,0.2386999999999979,,8.974926613596756,4.284629965331054,96.06761447193968,4.284629965331054,0.2,UNIUSDT,10,3.225806451612937,3.4352744030163698,0.0,3.4352744030163698,16.056,15.236,16.2947,0,2.142314982665527,1.5,True,True,1,True,15.817300000000003,4,436,2022-01-19 14:00:00,15.817300000000003,4.284629965331054,take_profit,TP,100.35224443727073
SHORT,15.736,,0.179036,,15.817300000000003,0.25803571428570615,TREND,36.6918,0.2387,19.0604,27.3489,3.0,3_to_4,0.5,,True,,,0.1390000000000029,,,BOS,True,,,16.221,2022-01-19 05:00:00,2.5,momentum,,NONE,False,momentum,8.0,BELOW,0.3359999999999985,,8.974926613596756,4.284629965331054,96.06761447193968,3.0155753421684968,0.2,UNIUSDT,9,1.3392857142857233,1.4880952380952446,0.2648809523809495,1.4880952380952446,15.825,15.236,16.2947,1,2.142314982665527,0.25803571428570615,True,True,1,True,15.817300000000003,4,436,2022-01-19 14:00:00,15.817300000000003,1.4126534489800895,take_profit,TP,101.76489788625082
SHORT,15.313,,0.179036,,15.817300000000003,-0.5,TREND,36.6918,0.2387,19.0604,27.3489,3.0,3_to_4,0.5,,True,,,0.1390000000000029,,,BOS,True,,,16.221,2022-01-19 07:00:00,2.5,momentum,,NONE,False,momentum,8.0,BELOW,0.5043000000000024,,2.801216436605359,4.284629965331054,96.06761447193968,1.4126534489800893,0.2,UNIUSDT,7,0.05353955978584354,0.15070394606385118,1.0152686892722511,0.15070394606385118,15.825,15.237,16.2947,2,2.142314982665527,-0.5,True,True,1,True,15.817300000000003,4,436,2022-01-19 14:00:00,15.817300000000003,0.7296615336854377,take_profit,TP,102.49455941993627
LONG,1.3816,1.0,0.017464,,1.378,-0.07929515418502328,TREND,33.1217,0.0233,36.9632,9.6933,4.0,4_to_5,1.0,BULLISH_BOS,True,SWEEP_HIGH,,0.04169999999999985,,,BOS,True,,1.3362,,2022-01-20 15:00:00,2.5,zone,full,NONE,False,zone,,BELOW,0.045399999999999885,,222.55622340750494,10.1040525427007,102.49455941993627,10.1040525427007,0.2,ADAUSDT,5,0.5440528634361284,0.7488986784140995,0.5814977973568292,0.7488986784140995,1.4156,1.3552,1.3362,0,0.0,-0.07929515418502328,True,True,0,False,1.4269999999999998,5,471,2022-01-20 20:00:00,1.378,-0.8012024042670284,stop_loss,trailing_stop,101.69335701566924
SHORT,41111.0,1.0,399.053571,,35850.0,2.8181317470808547,TREND,39.9816,532.0714,23.285,39.0254,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,810.0,,,BOS,False,,,43380.5,2022-01-21 00:30:00,2.5,zone,full,NONE,False,zone,,BELOW,2269.5,15m,0.0022404352724315763,10.169335701566924,101.69335701566924,10.169335701566924,0.2,BTCUSDT,37,2.7814496585150916,3.150914298303591,0.0,3.150914298303591,41111.0,33960.0,43380.5,0,5.084667850783462,2.8181317470808547,True,True,1,True,38841.5,6,480,2022-01-22 13:00:00,35850.0,16.871597819045984,take_profit,TP,124.70042084075365
SHORT,23.445,,0.367232,,19.155,2.5046728971962606,TREND,35.7878,0.4896,16.9949,39.752,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,0.6899999999999977,,,BOS,False,,,25.585,2022-01-21 00:30:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,2.1400000000000006,15m,2.3760130143847946,10.169335701566924,101.69335701566924,10.169335701566924,0.2,DOTUSDT,37,2.990654205607475,3.464953271028036,0.0,3.464953271028036,23.445,16.03,25.585,0,5.084667850783462,2.5046728971962606,True,True,1,True,21.305,7,480,2022-01-22 13:00:00,19.155,15.277763682494228,take_profit,TP,139.97818452324788
SHORT,3033.0,1.0,38.196429,,2430.6,3.0205020920502097,TREND,36.0235,50.9286,19.3128,40.1262,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,88.20000000000027,,,BOS,False,,,3272.0,2022-01-21 00:30:00,2.5,zone,full,NONE,False,zone,,BELOW,239.0,15m,0.02127476088193917,10.169335701566924,101.69335701566924,10.169335701566924,0.2,ETHUSDT,40,2.708995815899581,3.083682008368201,0.0,3.083682008368201,3033.0,2296.0,3272.0,0,5.084667850783462,3.0205020920502097,True,True,1,True,2794.0,8,480,2022-01-22 16:00:00,2430.6,17.900583806063622,take_profit,TP,157.8787683293115
SHORT,15.683,,0.335464,,11.333,2.8551705468326998,TREND,34.7682,0.4473,15.107,38.5819,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,0.5800000000000001,,,BOS,False,,,17.53,2022-01-21 00:30:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,1.8470000000000013,15m,2.75293332473387,10.169335701566924,101.69335701566924,10.169335701566924,0.2,NEARUSDT,40,2.706009745533295,3.035733622089873,0.0,3.035733622089873,15.683,10.076,17.53,0,5.084667850783462,2.8551705468326998,True,True,1,True,13.835999999999999,9,480,2022-01-22 16:00:00,11.333,17.059927813375797,take_profit,TP,174.9386961426873
SHORT,128.715,,2.101339,,124.095,0.30166503428011787,TREND,32.9488,2.8018,19.4264,44.2065,4.0,4_to_5,1.0,BEARISH_BOS,True,,,3.2700000000000102,,,BOS,True,,,144.03,2022-01-21 00:30:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,15.314999999999998,15m,1.3280229450299608,20.338671403133848,101.69335701566924,20.338671403133848,0.2,SOLUSDT,16,0.7009467841984983,0.8596147567744047,0.0,0.8596147567744047,128.715,115.55,144.03,0,0.0,0.30166503428011787,True,True,0,False,113.4,10,480,2022-01-21 16:00:00,124.095,6.135466006038425,take_profit,TP,107.82882302170766
SHORT,2465.05,1.0,38.196429,,2794.0,0.2531539747682023,TREND,36.0235,50.9286,19.3128,40.1262,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,88.20000000000027,,,BOS,False,,,3272.0,2022-01-22 13:00:00,2.5,zone,full,NONE,False,zone,,BELOW,328.9499999999998,15m,0.015457266608248867,10.169335701566924,101.69335701566924,5.084667850783462,0.2,ETHUSDT,164,0.8616811065511489,0.9425444596443239,0.7750417996656026,0.9425444596443239,2720.0,2155.0,3272.0,1,5.084667850783462,0.2531539747682023,True,True,1,True,2794.0,8,480,2022-01-29 09:00:00,2546.25,3.8295378021936566,timeout,timeout,150.23927269409091
SHORT,17.81,1.0,0.346607,,18.4,-0.3259668508287288,TREND,31.2955,0.4621,15.3014,36.1669,4.0,4_to_5,1.0,BEARISH_BOS,True,,,0.5899999999999999,,,BOS,True,,,19.62,2022-01-24 10:00:00,2.5,zone,full,NONE,False,zone,,BELOW,1.8100000000000023,15m,19.33024266770023,34.98773922853746,174.9386961426873,34.98773922853746,0.2,FILUSDT,13,0.46961325966850653,0.5580110497237551,0.49723756906077404,0.5580110497237551,18.71,16.8,19.62,0,0.0,-0.3259668508287288,True,True,0,False,15.999999999999996,11,562,2022-01-24 23:00:00,18.4,-11.404843173943133,stop_loss,trailing_stop,146.40973489189724
SHORT,86.86,,2.3625,,94.27,-0.48943196829590463,TREND,32.8239,3.15,14.6485,34.4218,5.0,5_plus,1.25,BEARISH_BOS,True,,,3.4299999999999926,,,BOS,True,,,102.0,2022-01-24 11:00:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,15.14,15m,2.3109471088862255,34.98773922853746,174.9386961426873,34.98773922853746,0.2,SOLUSDT,10,0.3309114927344785,0.40356671070013206,0.6324306472919421,0.40356671070013206,96.435,80.75,102.0,0,0.0,-0.48943196829590463,True,True,0,False,71.72,12,562,2022-01-24 20:00:00,94.27,-17.124118076846923,stop_loss,trailing_stop,157.81457806584038
SHORT,19.76,,0.213214,,19.38,0.3725490196078458,TREND,33.8633,0.2843,9.2965,40.201,4.0,4_to_5,1.0,BEARISH_BOS,True,,,0.3099999999999987,,,BOS,True,,,20.78,2022-01-30 20:00:00,2.5,momentum,momentum,NONE,False,momentum,,ABOVE,1.0199999999999996,15m,22.80960617825267,23.26579830181771,150.23927269409091,23.26579830181771,0.2,FILUSDT,13,0.6274509803921576,0.8235294117647061,0.2941176470588209,0.8235294117647061,20.06,18.92,20.78,0,0.0,0.3725490196078458,True,True,0,False,18.740000000000002,13,716,2022-01-31 09:00:00,19.38,8.667650347736073,take_profit,TP,168.1320061110876
SHORT,10.447,1.0,0.136554,,10.259,0.2689556509298976,TREND,30.3594,0.1821,7.1793,39.0349,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,0.13899999999999935,,,BOS,False,,,11.146,2022-01-30 21:00:00,2.5,zone,full,NONE,False,zone,,BELOW,0.6990000000000016,15m,21.49345818227333,15.023927269409093,150.23927269409091,15.023927269409093,0.2,NEARUSDT,10,0.48068669527896674,0.6065808297567933,0.13018597997138895,0.6065808297567933,10.538,10.023,11.146,0,0.0,0.2689556509298976,True,True,0,False,9.747999999999998,14,717,2022-01-31 07:00:00,10.259,4.04077013826736,take_profit,TP,154.28004283235828
SHORT,147.1,,1.955357,,144.65,0.3450704225352099,TREND,32.9392,2.6071,10.8219,35.6164,3.5,3_to_4,0.5,BEARISH_BOS,False,,,1.8499999999999943,,,BOS,False,,,154.2,2022-01-31 00:00:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,7.099999999999994,,2.1160460942829724,15.023927269409093,150.23927269409091,15.023927269409093,0.2,AAVEUSDT,8,0.6619718309859144,0.788732394366197,0.0,0.788732394366197,147.1,141.5,154.2,0,0.0,0.3450704225352099,True,True,0,False,140.0,15,720,2022-01-31 08:00:00,144.65,5.184312930993259,take_profit,TP,159.46435576335153
SHORT,155.95,,2.051786,,153.25,0.362416107382548,TREND,37.7016,2.7357,14.8825,39.1645,3.0,3_to_4,0.5,,True,,,1.9499999999999886,,,BOS,True,,,163.4,2022-02-02 22:00:00,2.5,momentum,,NONE,False,momentum,3.0,BELOW,7.450000000000017,,2.2568054511555333,16.813200611108762,168.1320061110876,16.813200611108762,0.2,AAVEUSDT,2,0.6375838926174482,0.7449664429530162,0.0,0.7449664429530162,155.95,150.4,163.4,0,0.0,0.362416107382548,True,True,0,False,148.49999999999997,16,790,2022-02-03 00:00:00,153.25,6.0933747181199145,take_profit,TP,174.22538082920752
SHORT,37191.5,,267.133929,,36755.5,0.287598944591029,TREND,37.5822,356.1786,10.6488,46.0543,3.0,3_to_4,0.5,,True,,,234.5,,,BOS,True,,,38707.5,2022-02-02 22:30:00,2.5,momentum,,NONE,False,momentum,3.0,BELOW,1516.0,15m,0.011090501722367257,16.813200611108762,168.1320061110876,16.813200611108762,0.2,BTCUSDT,17,0.5438654353562006,0.6536939313984169,0.0,0.6536939313984169,37191.5,36200.5,38707.5,0,0.0,0.287598944591029,True,True,0,False,35675.5,17,790,2022-02-03 15:00:00,36755.5,4.8354587509521245,take_profit,TP,182.78489636039797
SHORT,15.995,,0.214607,,15.69,0.22149600580973097,TREND,33.5425,0.2861,11.5577,48.003,3.0,3_to_4,0.5,,True,,,0.17600000000000193,,,BOS,True,,,17.372,2022-02-02 22:45:00,2.5,momentum,,NONE,False,momentum,3.0,BELOW,1.3770000000000007,15m,12.210022230289582,16.813200611108762,168.1320061110876,16.813200611108762,0.2,LINKUSDT,15,0.4306463326071167,0.5432098765432092,0.0,0.5432098765432092,15.995,15.247,17.372,0,0.0,0.22149600580973097,True,True,0,False,14.617999999999999,18,790,2022-02-03 13:00:00,15.69,3.724056780238319,take_profit,TP,177.94943760944585
SHORT,68.405,3.0,1.048125,,67.63,0.19795657726692395,TREND,39.1778,1.3975,12.8546,24.4314,3.5,3_to_4,0.5,,False,SWEEP_LOW,,0.6650000000000063,,,BOS,False,,,72.32,2022-02-03 06:00:00,2.5,momentum,full,NONE,False,momentum,3.0,BELOW,3.914999999999992,15m,4.450201298319486,17.422538082920752,174.22538082920752,17.422538082920752,0.2,AVAXUSDT,9,0.7241379310344863,0.8735632183908069,0.08301404853129081,0.8735632183908069,68.73,64.985,72.32,0,0.0,0.19795657726692395,True,True,0,False,64.49000000000001,19,798,2022-02-03 15:00:00,67.63,3.4489060061976273,take_profit,TP,186.2338023665956
SHORT,2663.0,1.0,24.361607,,2620.4,1.3114915599668642,TREND,31.4818,32.4821,15.9868,23.7493,3.5,3_to_4,0.5,BEARISH_BOS,False,,,45.40000000000009,,,BOS,False,,,2682.25,2022-02-03 16:00:00,2.5,zone,full,NONE,False,zone,,BELOW,32.48210000000017,15m,0.20980150473142578,6.814793456836681,186.2338023665956,6.814793456836681,0.2,ETHUSDT,1,1.1098420360752534,1.908743584928304,0.0,1.908743584928304,2663.0,2601.0,2695.4821,0,0.0,1.3114915599668642,True,True,0,False,2630.5179,20,808,2022-02-03 17:00:00,2620.4,8.93754410155872,take_profit,TP,195.17134646815433
LONG,424.15,1.0,3.289286,,433.35,1.1666666666666723,TREND,30.9465,4.3857,34.8534,9.3648,4.0,4_to_5,1.0,BULLISH_BOS,True,,,7.5,,,BOS,True,,410.35,,2022-02-07 04:00:00,2.5,zone,full,NONE,False,zone,,ABOVE,13.799999999999955,15m,0.6902204873328576,19.050085450386806,195.17134646815433,19.050085450386806,0.2,BNBUSDT,28,1.2355072463768164,1.5181159420289938,0.20289855072463506,1.5181159420289938,445.1,421.35,410.35,0,9.525042725193403,1.1666666666666723,True,True,1,True,437.94999999999993,21,892,2022-02-08 08:00:00,433.35,15.875071208655724,take_profit,TP,258.55649440086535
LONG,22.03,1.0,0.241607,,22.34,0.24409448818897544,TREND,38.6961,0.3221,34.0355,6.9845,4.0,4_to_5,1.0,BULLISH_BOS,True,,,0.620000000000001,,,BOS,True,,20.76,,2022-02-07 04:00:00,2.5,zone,full,NONE,False,zone,,ABOVE,1.2699999999999996,15m,26.578031747819473,33.75410031973072,195.17134646815433,33.75410031973072,0.2,DOTUSDT,14,0.4685039370078733,0.5118110236220463,0.299212598425199,0.5118110236220463,22.68,21.65,20.76,0,0.0,0.24409448818897544,True,True,0,False,23.3,22,892,2022-02-07 18:00:00,22.34,8.239189841824002,take_profit,TP,203.41053630997834
LONG,127.85,3.0,1.152857,,137.71,1.8525377229080966,TREND,34.8299,1.5371,32.4814,2.6952,4.0,4_to_5,1.0,,True,SWEEP_HIGH,,1.3700000000000045,,,BOS,True,,120.56,,2022-02-07 07:45:00,2.5,momentum,full,NONE,False,momentum,19.0,ABOVE,7.289999999999992,15m,2.289847631616985,33.3859784689756,195.17134646815433,33.3859784689756,0.2,LTCUSDT,19,1.4156378600823052,1.6488340192043929,0.18930041152263333,1.6488340192043929,139.87,126.47,120.56,0,16.6929892344878,1.8525377229080966,True,True,1,True,135.14,23,895,2022-02-08 02:00:00,137.71,39.2708868822313,take_profit,TP,242.68142319220965
LONG,435.4,1.0,3.289286,,433.35,0.26966292134831915,TREND,30.9465,4.3857,34.8534,9.3648,4.0,4_to_5,1.0,BULLISH_BOS,True,,,7.5,,,BOS,True,,410.35,,2022-02-07 18:00:00,2.5,zone,full,NONE,False,zone,,ABOVE,8.899999999999977,15m,0.6902204873328576,19.050085450386806,195.17134646815433,6.142962337262417,0.2,BNBUSDT,14,0.6516853932584299,1.0898876404494462,1.0168539325842672,1.0898876404494462,445.1,426.35,410.35,1,9.525042725193403,0.26966292134831915,True,True,1,True,437.94999999999993,21,892,2022-02-08 08:00:00,433.35,8.110090726161076,take_profit,TP,266.66658512702645
SHORT,11.812,,0.235875,,11.969,-0.1508165225744476,TREND,36.3601,0.3145,10.7881,43.2432,4.0,4_to_5,1.0,,True,,,0.21700000000000053,,,BOS,True,,,12.853,2022-02-11 00:00:00,2.5,momentum,,NONE,False,momentum,6.0,BELOW,1.0410000000000004,15m,51.232773319313424,53.33331702540529,266.66658512702645,53.33331702540529,0.2,NEARUSDT,8,0.14985590778097863,0.280499519692603,0.1700288184438053,0.280499519692603,11.989,11.52,12.853,0,0.0,-0.1508165225744476,True,True,0,False,10.770999999999999,24,984,2022-02-11 08:00:00,11.969,-8.043545411132209,stop_loss,trailing_stop,258.62303971589427
SHORT,19.805,3.0,0.226071,,18.765,1.618881118881117,TREND,36.7259,0.3014,8.6493,31.6351,3.0,3_to_4,0.5,,True,,,0.3150000000000013,,,BOS,True,,,20.68,2022-02-11 19:30:00,2.5,momentum,full,NONE,False,momentum,15.0,BELOW,0.9295000000000009,15m,13.911944040661325,25.862303971589427,258.62303971589427,25.862303971589427,0.2,DOTUSDT,12,1.2318450779989225,1.6783216783216754,0.0,1.6783216783216754,19.805,18.245,20.7345,0,12.931151985794713,1.618881118881117,True,True,1,True,18.8755,25,1003,2022-02-12 07:00:00,18.765,27.399573788082478,take_profit,TP,286.02261350397674
SHORT,11.037,2.0,0.171643,,10.731,0.24075531077891515,TREND,39.5811,0.2289,12.0474,35.1436,4.0,4_to_5,1.0,BEARISH_BOS,True,,,0.21399999999999864,,,BOS,True,,,12.308,2022-02-11 21:15:00,2.5,zone,full,NONE,False,zone,,BELOW,1.270999999999999,15m,40.69599366103768,51.72460794317885,258.62303971589427,51.72460794317885,0.2,NEARUSDT,11,0.3328088119590876,0.5011801730920542,0.0,0.5011801730920542,11.037,10.4,12.308,0,0.0,0.24075531077891515,True,True,0,False,9.766000000000002,26,1005,2022-02-12 08:00:00,10.731,12.452974060277569,take_profit,TP,298.4755875642543
SHORT,18.7,3.0,0.226071,,19.805,-0.5,TREND,36.7259,0.3014,8.6493,31.6351,3.0,3_to_4,0.5,,True,,,0.3150000000000013,,,BOS,True,,,20.68,2022-02-11 22:00:00,2.5,momentum,full,NONE,False,momentum,15.0,BELOW,1.1050000000000004,15m,13.911944040661325,25.862303971589427,258.62303971589427,15.37269816493077,0.2,DOTUSDT,84,0.5746606334841609,0.6334841628959267,1.0588235294117658,0.6334841628959267,19.87,18.0,20.7345,1,12.931151985794713,-0.5,True,True,1,True,18.8755,25,1003,2022-02-15 10:00:00,19.805,-2.441546179136056,stop_loss,trailing_stop,386.9522045957461
SHORT,160.8223,1.0,1.655357,,155.55,1.7043538844598831,TREND,39.8788,2.2071,10.356,32.5243,3.5,3_to_4,0.5,BEARISH_BOS,False,,,4.549999999999983,,,BOS,False,,,165.2,2022-02-13 23:00:00,2.5,zone,full,NONE,False,zone,,BELOW,4.377699999999976,,2.7839011215881215,24.374167879952505,298.4755875642543,24.374167879952505,0.2,AAVEUSDT,4,1.5013134751125132,1.626950225004012,0.0,1.626950225004012,160.8223,153.7,165.2,0,12.187083939976253,1.7043538844598831,True,True,1,True,156.44460000000004,27,1055,2022-02-14 03:00:00,155.55,26.86464582332531,take_profit,TP,341.02419575466996
SHORT,400.1,1.0,2.416071,,398.3,0.2535211267605662,TREND,37.4677,3.2214,9.9778,26.9401,3.5,3_to_4,0.5,BEARISH_BOS,False,,,6.150000000000034,,,BOS,False,,,407.2,2022-02-13 23:00:00,2.5,zone,full,NONE,False,zone,,BELOW,7.099999999999966,15m,2.238007404880687,15.8898525746528,298.4755875642543,15.8898525746528,0.2,BNBUSDT,1,0.45774647887324166,0.6549295774647966,0.0,0.6549295774647966,400.1,395.45,407.2,0,0.0,0.2535211267605662,True,True,0,False,393.00000000000006,28,1055,2022-02-14 00:00:00,398.3,4.028413328785262,take_profit,TP,302.5040008930395
SHORT,2903.95,1.0,26.4375,,2866.15,0.7793814432989634,TREND,38.3519,35.25,11.4792,24.4985,3.5,3_to_4,0.5,BEARISH_BOS,False,,,69.5,,,BOS,False,,,2952.45,2022-02-13 23:00:00,2.5,zone,full,NONE,False,zone,,BELOW,48.5,15m,0.3083478581562227,14.954871120576799,298.4755875642543,14.954871120576799,0.2,ETHUSDT,1,0.6969072164948398,0.9969072164948435,0.0,0.9969072164948435,2903.95,2855.6,2952.45,0,0.0,0.7793814432989634,True,True,0,False,2855.45,29,1055,2022-02-14 00:00:00,2866.15,11.655549038305134,take_profit,TP,314.15954993134466
SHORT,15.883,,0.148554,,15.435,1.5275229357798135,TREND,38.184,0.1981,5.2651,35.9899,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.2729999999999997,,,BOS,False,,,16.319,2022-02-13 23:00:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,0.43599999999999994,15m,28.188212639072056,24.580121421270828,298.4755875642543,24.580121421270828,0.2,LINKUSDT,6,1.3738532110091708,1.5642201834862355,0.0,1.5642201834862355,15.883,15.201,16.319,0,12.290060710635414,1.5275229357798135,True,True,1,True,15.447,30,1055,2022-02-14 05:00:00,15.435,24.918379972939654,take_profit,TP,365.9425757276096
SHORT,15.36,,0.148554,,15.435,0.39451476793248824,TREND,38.184,0.1981,5.2651,35.9899,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.2729999999999997,,,BOS,False,,,16.319,2022-02-14 03:00:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,0.7110000000000021,15m,27.11777418442357,24.580121421270828,298.4755875642543,19.280737445125215,0.2,LINKUSDT,2,0.0745428973277059,0.0970464135021081,0.1195499296765128,0.0970464135021081,15.445,15.291,16.319,1,12.290060710635414,0.39451476793248824,True,True,1,True,15.447,30,1055,2022-02-14 05:00:00,15.435,10.256227646803618,take_profit,TP,376.1988033744132
LONG,329.3,,2.515179,,333.15,1.0999999999999903,TREND,32.1304,3.3536,38.4452,15.442,3.0,3_to_4,0.5,,True,,,1.9500000000000455,,,BOS,True,,325.8,,2022-02-15 02:00:00,2.5,momentum,,NONE,False,momentum,4.0,ABOVE,3.5,,3.4272590650569073,11.995406727699175,376.1988033744132,11.995406727699175,0.2,BCHUSDT,4,1.828571428571422,2.328571428571422,0.0,2.328571428571422,337.45,329.3,325.8,0,0.0,1.0999999999999903,True,True,0,False,332.8,31,1082,2022-02-15 06:00:00,333.15,13.194947400468976,take_profit,TP,389.39375077488216
LONG,335.7,,2.515179,,329.3,-1.2265624999999991,TREND,32.1304,3.3536,38.4452,15.442,3.0,3_to_4,0.5,,True,,,1.9500000000000455,,,BOS,True,,325.8,,2022-02-15 03:00:00,2.5,momentum,,NONE,False,momentum,4.0,ABOVE,6.399999999999977,,0.9371411506015014,11.995406727699175,376.1988033744132,11.995406727699175,0.2,BCHUSDT,36,1.1718750000000042,1.406250000000005,1.0312499999999982,1.406250000000005,344.7,329.1,325.8,1,-2.7177093367443326,-1.2265624999999991,True,True,1,True,332.8,31,1082,2022-02-16 15:00:00,329.3,-8.71541270059392,stop_loss,trailing_stop,494.913535900708
LONG,84.98,3.0,0.989732,,93.255,1.8587848932676496,TREND,33.782,1.3196,38.4574,9.5805,4.0,4_to_5,1.0,,True,,,0.46999999999999886,,,BOS,True,,78.89,,2022-02-15 08:15:00,2.5,momentum,full,NONE,False,momentum,1.0,ABOVE,6.090000000000003,15m,6.393986055416781,77.87875015497644,389.39375077488216,77.87875015497644,0.2,AVAXUSDT,20,1.5221674876847275,1.5788177339901461,0.0,1.5788177339901461,94.595,84.98,78.89,0,38.93937507748822,1.8587848932676496,True,True,1,True,91.07000000000001,32,1088,2022-02-16 04:00:00,93.255,91.84960968606202,take_profit,TP,478.8018142818081
LONG,3086.0,1.0,23.051786,,3136.55,1.120626151012895,TREND,38.8322,30.7357,46.8743,7.5761,3.5,3_to_4,0.5,BULLISH_BOS,False,,,34.59999999999991,,,BOS,False,,3004.55,,2022-02-15 12:00:00,2.5,zone,full,NONE,False,zone,,ABOVE,81.44999999999982,15m,0.18808435090525571,30.63894076246609,386.9522045957461,30.63894076246609,0.2,ETHUSDT,16,1.2001227747084127,1.3413136893799906,0.0,1.3413136893799906,3195.25,3086.0,3004.55,0,15.319470381233044,1.120626151012895,True,True,1,True,3167.45,33,1092,2022-02-16 04:00:00,3136.55,24.827134319493755,take_profit,TP,503.6289486013019
SHORT,164.2763,1.0,1.947321,,154.65,2.3606219919979887,TREND,32.9801,2.5964,7.7029,42.7785,4.0,4_to_5,1.0,,True,,,2.799999999999983,,,BOS,True,,,169.45,2022-02-17 14:00:00,2.5,momentum,full,NONE,False,momentum,5.0,BELOW,5.173699999999997,,4.519034722909281,46.76025989183147,494.913535900708,46.76025989183147,0.2,AAVEUSDT,17,2.2568567949436584,2.7014129153217215,0.0,2.7014129153217215,164.2763,150.3,169.45,0,23.380129945915733,2.3606219919979887,True,True,1,True,159.1026,34,1142,2022-02-18 07:00:00,154.65,66.88171389905729,take_profit,TP,561.7952497997653
SHORT,60.2833,1.0,0.863304,,57.635,1.7452626134386606,TREND,35.7665,1.1511,7.3224,40.8005,4.0,4_to_5,1.0,,True,SWEEP_LOW,,1.6799999999999997,,,BOS,True,,,62.41,2022-02-17 14:00:00,2.5,momentum,full,NONE,False,momentum,5.0,BELOW,2.1266999999999996,,12.31469252431539,52.37931318292307,494.913535900708,52.37931318292307,0.2,AXSUSDT,17,1.86124041942916,2.2303568909578213,0.0,2.2303568909578213,60.2833,55.54,62.41,0,26.189656591461535,1.7452626134386606,True,True,1,True,58.1566,35,1142,2022-02-18 07:00:00,57.635,58.80265680360597,take_profit,TP,620.5979066033713
