direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_mode,candles_since_bos,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,exit_time,exit_price,pnl,exit_reason,mtf_tf
SHORT,10.902,,10.973,-0.5916666666666743,TREND,37.2883,0.0611,15.4206,41.7056,5.0,,True,SWEEP_LOW,,0.11999999999999922,,,BOS,True,,,11.022,2023-04-09 06:00:00,1,momentum,11.0,BELOW,5.0,2.0,ATOMUSDT,6,0.033333333333329385,0.120000000000001,0.3166666666666514,0.5916666666666743,0.3166666666666514,10.973,10.864,2023-04-09 12:00:00,10.973,-0.35500000000000753,stop_loss,
SHORT,11.085,10.9644,11.1453,-1.0,RANGE,19.6061,0.0603,28.3175,12.5592,4.0,BULLISH_BOS,False,SWEEP_HIGH,,0.11999999999999922,,,SWEEP,False,11.1453,,,2023-04-10 16:00:00,1,,,,4.9822500000000005,1.7936100000000001,ATOMUSDT,1,0.0,0.0602999999999998,0.08291873963517078,1.4759535655057867,0.08291873963517078,11.174,11.08,2023-04-10 17:00:00,11.1453,-0.300429674999999,stop_loss,
SHORT,11.016,,11.337,-1.0,TREND,31.3341,0.1018,6.9474,36.8421,5.0,BEARISH_BOS,True,,,0.26699999999999946,,,BOS,True,,,11.337,2023-04-12 02:00:00,1,zone,,BELOW,4.96722851625,1.9868914064999998,ATOMUSDT,12,0.0,0.32099999999999973,0.14330218068535644,1.040498442367601,0.14330218068535644,11.35,10.97,2023-04-12 14:00:00,11.337,-1.5944803537162486,stop_loss,
LONG,12.751,,12.561,-1.0,TREND,37.0997,0.1141,37.5704,16.531,3.5,BULLISH_BOS,False,,,0.12599999999999945,,,BOS,False,,12.561,,2023-04-18 11:00:00,1,zone,,ABOVE,4.887504498564187,1.6617515295118237,ATOMUSDT,3,0.0,0.1899999999999995,0.10000000000000094,1.1842105263157907,0.10000000000000094,12.77,12.526,2023-04-18 14:00:00,12.561,-0.9286258547271932,stop_loss,
SHORT,10.919,10.7167,10.919,0.0,RANGE,19.2848,0.1011,26.9068,18.0791,3.0,,False,SWEEP_HIGH,,0.16999999999999993,,,SWEEP,False,11.0201,,,2023-04-24 13:00:00,1,,,,4.841073205827828,1.5491434258649048,ATOMUSDT,1,0.8605341246290873,0.10109999999999886,1.5727002967359298,0.39564787339267654,1.5727002967359298,10.959,10.76,2023-04-24 14:00:00,10.919,0.0,stop_loss,
LONG,11.45,,11.45,0.0,TREND,32.3322,0.1626,34.8418,8.1283,3.5,BULLISH_BOS,False,,,0.27200000000000024,,,BOS,False,,11.137,,2023-04-27 10:00:00,1,zone,,ABOVE,4.841073205827828,1.6459648899814616,ATOMUSDT,12,0.6645367412140606,0.31299999999999883,1.0511182108626258,0.6517571884984013,1.0511182108626258,11.779,11.246,2023-04-27 22:00:00,11.45,0.0,stop_loss,
SHORT,11.239,,11.028,0.3112094395280245,TREND,39.5427,0.1333,6.6988,38.6924,3.5,BEARISH_BOS,False,,,0.32699999999999996,,,BOS,False,,,11.917,2023-05-01 01:00:00,1,zone,,BELOW,2.427676828881215,1.6459648899814616,ATOMUSDT,31,0.5663716814159305,0.677999999999999,0.6076696165191761,0.17404129793510134,0.6076696165191761,11.357,10.827,2023-05-02 08:00:00,11.028,0.5122398108939371,stop_loss,
SHORT,10.887,,10.889,-0.010810810810804894,TREND,32.3927,0.0738,6.97,35.5276,3.5,BEARISH_BOS,False,,,0.16300000000000026,,,BOS,False,,,11.072,2023-05-06 13:00:00,1,zone,,BELOW,4.866685196372525,1.6546729667666584,ATOMUSDT,21,0.5837837837837907,0.18499999999999872,0.756756756756765,0.3297297297297317,0.756756756756765,10.948,10.747,2023-05-07 10:00:00,10.889,-0.009733370392739655,stop_loss,
SHORT,10.567,,10.64,-0.5034482758620732,TREND,36.6234,0.1389,7.9733,37.0885,3.5,BEARISH_BOS,False,,,0.06099999999999994,,,BOS,False,,,10.712,2023-05-09 03:00:00,1,zone,,BELOW,4.866198527852887,1.6545074994699818,ATOMUSDT,9,0.5862068965517317,0.14499999999999957,0.9103448275862073,0.7172413793103415,0.9103448275862073,10.671,10.435,2023-05-09 12:00:00,10.64,-0.3552324925332627,stop_loss,
SHORT,10.361,,10.432,-0.22468354430379736,TREND,35.3968,0.125,17.0857,38.9714,3.5,BEARISH_BOS,False,,,0.5090000000000003,,,BOS,False,,,10.677,2023-05-09 15:00:00,1,zone,,BELOW,4.848436903226225,1.6484685470969165,ATOMUSDT,10,0.12341772151899243,0.31599999999999895,0.2911392405063317,0.41139240506328933,0.2911392405063317,10.491,10.269,2023-05-10 01:00:00,10.432,-0.34423902012906066,stop_loss,
